loan_id,company_name,hq_country,asset_description,asset_value,asset_owner,loan_value,loan_currency
L000049,Ironwood Manufacturing,Sweden,Gothenburg Freight Hub,248541,Ironwood Manufacturing,168660,SEK
L000050,Fenwick Manufacturing,Spain,Bilbao Storage Facility,1223435,Fenwick Manufacturing,1266689,EUR
L000051,Briarwood Timber Ltd,Ireland,Limerick Assembly Line Facility,844824,Briarwood Timber Ltd,561591,EUR
L000052,Westfold Works,Spain,Seville Freight Hub,677827,Cascade Holdings GmbH,921286,EUR
L000053,Tanglewood Logistics,Austria,Graz Regional Headquarters,489536,Tanglewood (Linz) Ltd,426553,EUR
L000054,Kingswell Manufacturing,Switzerland,Basel Regional Headquarters,278383,Kingswell Manufacturing,2479,CHF
L000055,Fenwick Works,Japan,Fukuoka Warehouse,1582918,Ironwood Holdings SA,1536611,JPY
L000056,Brightwell Timber Ltd,France,Toulouse Cold Storage Depot,1263391,Tanglewood Holdings Inc,868587,EUR
L000057,Ravensworth Logistics,Germany,Essen Distribution Centre,2253646,Ravensworth (Stuttgart) Ltd,9611618,EUR
L000058,Juniper Supply Co,Japan,Fukuoka Processing Plant,923927,Juniper Supply Co,1389475,JPY
L000059,Briarwood Holdings,Poland,Poznan Freight Hub,162083,Briarwood Holdings,139861,PLN
L000060,Silverlake Materials,Belgium,Liege Warehouse,164686,Silverlake Materials,99818,EUR
L000061,Bellweather Pharma,Portugal,Coimbra Storage Facility,190459,Bellweather Pharma,160440,EUR
L000062,Juniper Textiles,United States,Denver Freight Hub,727866,Juniper Textiles,1249691,USD
L000063,Foxglove Timber Ltd,France,Toulouse Assembly Line Facility,1652200,Foxglove (Lyon) Ltd,2312566,EUR
L000064,Marlowe Retail Group,United States,Austin Warehouse,1175265,Marlowe Retail Group,730136,USD
L000065,Granwell Textiles,United Kingdom,Aberdeen Freight Hub,315292,Amberfield Holdings SA,880944,GBP
L000066,Norwich Pharma,Luxembourg,Differdange Freight Hub,292884,Norwich Pharma,416319,EUR
L000067,Granwell Works,Belgium,Liege Manufacturing Plant,250166,Granwell Works,7748,PLN
L000068,Windrose Pharma,Spain,Seville Processing Plant,1789833,Windrose Pharma,7652594,EUR
L000069,Silverlake Materials,Belgium,Liege Warehouse,164686,Silverlake Materials,104272,EUR
L000070,Zenbridge Manufacturing,Spain,Seville Regional Headquarters,2422553,Zenbridge Manufacturing,3541550,EUR
L000071,Foxglove Construction,Canada,Calgary Warehouse,448675,Greystone Holdings Inc,508949,CAD
L000072,Halbrook Supply Co,United States,Denver Processing Plant,974141,Vireo Holdings Inc,1333607,USD
L000073,Elmsworth Engineering,Ireland,Cork Regional Headquarters,646436,Elmsworth Engineering,472575,EUR
L000074,Cascade Agritech,United Kingdom,Aberdeen Assembly Line Facility,152970,Cascade (Cardiff) Ltd,165758,GBP
L000075,Copperfield Construction,Germany,Dresden Distribution Centre,257607,Copperfield Construction,459764,EUR
L000076,Cascade Agritech,United Kingdom,Cardiff Manufacturing Plant,314128,Cascade Agritech,343847,GBP
L000077,Redshaw Retail Group,United Kingdom,Leeds Regional Headquarters,220280,Redshaw Retail Group,309791,GBP
L000078,Juniper Supply Co,Japan,Fukuoka Processing Plant,923927,Juniper Supply Co,946742,JPY
L000079,Quillon Works,Austria,Linz Warehouse,1358696,Quillon Works,1908935,EUR
L000080,Ravensworth Logistics,Germany,Leipzig Manufacturing Plant,1848831,Windrose Holdings Group,1986804,EUR
L000081,Brightwell Industries,Belgium,Antwerp Processing Plant,808824,Brightwell (Liege) Ltd,904131,EUR
L000082,Windrose Agritech,Portugal,Coimbra Manufacturing Plant,667590,Windrose Agritech,778459,EUR
L000083,Kestrel Materials,Italy,Genoa Storage Facility,890020,Kestrel Materials,1181007,EUR
L000084,Redshaw Retail Group,United Kingdom,Aberdeen Distribution Centre,538261,Redshaw Retail Group,931803,GBP
L000085,Tanglewood Logistics,Austria,Salzburg Regional Headquarters,296579,Tanglewood (Linz) Ltd,349410,EUR
L000086,Quillon Logistics,Italy,Genoa Storage Facility,150584,Quillon Logistics,1966,USD
L000087,Underhill Retail Group,Spain,Bilbao Regional Headquarters,214176,Underhill Retail Group,274363,EUR
L000088,Briarwood Timber Ltd,Ireland,Waterford Cold Storage Depot,330998,Briarwood (Limerick) Ltd,499137,EUR
L000089,Millbrook Construction,France,Lyon Regional Headquarters,1354666,Millbrook Construction,1730752,EUR
L000090,Pemberton Engineering,Sweden,Gothenburg Manufacturing Plant,1642477,Pemberton Engineering,1433378,SEK
L000091,Larkspur Agritech,Ireland,Waterford Office Campus,2426361,Larkspur Agritech,3596330,EUR
L000092,Duskwood Auto Parts,France,Toulouse Processing Plant,798787,Duskwood Auto Parts,614219,EUR
L000093,Tanglewood Auto Parts,Italy,Bologna Regional Headquarters,455679,Brightwell Holdings SA,785804,EUR
L000094,Halbrook Logistics,Japan,Nagoya Storage Facility,787518,Halbrook (Fukuoka) Ltd,1368670,JPY
L000095,Cascade Agritech,United Kingdom,Aberdeen Assembly Line Facility,152970,Cascade (Cardiff) Ltd,236074,GBP
L000096,Ironwood Manufacturing,Sweden,Uppsala Freight Hub,295804,Ironwood Manufacturing,349993,SEK
L000097,Zenbridge Manufacturing,Spain,Seville Regional Headquarters,2422553,Zenbridge Manufacturing,3285930,EUR
L000098,Kestrel Industries,Austria,Linz Regional Headquarters,155508,Kestrel Industries,232677,EUR
L000099,Pemberton Engineering,Sweden,Gothenburg Manufacturing Plant,1642477,Pemberton Engineering,1792600,SEK
L000100,Millbrook Timber Ltd,Canada,Calgary Processing Plant,1496944,Millbrook Timber Ltd,11421,EUR
L000101,Ashcombe Materials,Ireland,Galway Manufacturing Plant,280957,Ashcombe Materials,288631,EUR
L000102,Silverlake Textiles,United Kingdom,Glasgow Freight Hub,2351932,Silverlake Textiles,3579569,GBP
L000103,Everholt Textiles,Netherlands,Rotterdam Distribution Centre,2333715,Everholt Textiles,77969,SEK
L000104,Caldermill Manufacturing,Finland,Turku Distribution Centre,2185544,Caldermill Manufacturing,2479236,EUR
L000105,Bellweather Pharma,Portugal,Braga Regional Headquarters,156515,Bellweather Pharma,24601,EUR
L000106,Elmsworth Engineering,Ireland,Cork Regional Headquarters,646436,Elmsworth Engineering,1149133,EUR
L000107,Nordholt Pharma,Poland,Wroclaw Cold Storage Depot,374439,Heathcote Holdings SA,342996,PLN
L000108,Underhill Retail Group,Spain,Bilbao Regional Headquarters,214176,Bellweather Holdings Inc,273329,EUR
L000109,Fenwick Manufacturing,Spain,Zaragoza Regional Headquarters,466335,Fenwick Manufacturing,375249,EUR
L000110,Solaris Timber Ltd,Finland,Turku Cold Storage Depot,570807,Solaris Timber Ltd,1141614,EUR
L000111,Pemberton Engineering,Sweden,Malmo Distribution Centre,192499,Pemberton Engineering,150592,SEK
L000112,Westfold Industries,Japan,Fukuoka Regional Headquarters,870823,Westfold Industries,1295777,JPY
L000113,Norwich Engineering,Portugal,Porto Manufacturing Plant,637706,Norwich Engineering,444155,EUR
L000114,Amberfield Timber Ltd,Sweden,Malmo Storage Facility,236185,Amberfield Timber Ltd,158636,SEK
L000115,Grayling Foods,Switzerland,Lucerne Regional Headquarters,583590,Grayling Foods,10857,CHF
L000116,Thornbury Textiles,Ireland,Cork Storage Facility,243643,Thornbury Textiles,177746,CAD
L000117,Pinehurst Logistics,Spain,Zaragoza Assembly Line Facility,651077,Pinehurst Logistics,787639,EUR
L000118,Heathcote Logistics,Finland,Turku Cold Storage Depot,2241575,Heathcote Logistics,2137573,EUR
L000119,Vireo Timber Ltd,Italy,Turin Assembly Line Facility,1838257,Vireo Timber Ltd,1369124,EUR
L000120,Millbrook Construction,France,Toulouse Distribution Centre,455395,Millbrook Construction,710525,EUR
L000121,Greystone Auto Parts,France,Nantes Assembly Line Facility,637460,Greystone Auto Parts,489541,EUR
L000122,Yarrow Holdings,Sweden,Uppsala Freight Hub,284492,Yarrow Holdings,392908,SEK
L000123,Windrose Pharma,Spain,Seville Processing Plant,1789833,Windrose Pharma,8033823,EUR
L000124,Grayling Foods,Switzerland,Lausanne Assembly Line Facility,228104,Nordholt Holdings Group,227315,CHF
L000125,Kestrel Materials,Italy,Bologna Freight Hub,648799,Larkspur Holdings GmbH,2393300,EUR
L000126,Larkspur Construction,Netherlands,Eindhoven Storage Facility,172133,Larkspur Construction,215394,EUR
L000127,Yarrow Auto Parts,Germany,Bremen Assembly Line Facility,793292,Yarrow Auto Parts,995247,EUR
L000128,Underhill Holdings,Portugal,Coimbra Distribution Centre,1937428,Underhill (Braga) Ltd,1609260,CAD
L000129,Norwich Pharma,Luxembourg,Differdange Freight Hub,292884,Norwich Pharma,231491,EUR
L000130,Silverlake Textiles,United Kingdom,Glasgow Freight Hub,2351932,Silverlake (Glasgow) Ltd,2856783,GBP
L000131,Zenbridge Manufacturing,Spain,Seville Regional Headquarters,2422553,Zenbridge Manufacturing,3442467,EUR
L000132,Vantage Industries,Switzerland,Basel Office Campus,270628,Vantage Industries,476183,CHF
L000133,Oakhaven Construction,Canada,Vancouver Assembly Line Facility,1434473,Oakhaven Construction,6256496,CAD
L000134,Everholt Supply Co,Finland,Espoo Storage Facility,159624,Everholt Supply Co,319248,EUR
L000135,Aldergate Holdings,United States,Austin Warehouse,978534,Aldergate Holdings,1682797,USD
L000136,Nordholt Textiles,United Kingdom,Aberdeen Distribution Centre,163698,Nordholt Textiles,212004,GBP
L000137,Grayling Foods,Switzerland,Lausanne Assembly Line Facility,228104,Nordholt Holdings Group,345375,CHF
L000138,Vantage Industries,Switzerland,Lucerne Freight Hub,738347,Vantage Industries,1124969,CHF
L000139,Grayling Foods,Switzerland,Lausanne Assembly Line Facility,228104,Grayling Foods,293642,CHF
L000140,Zenbridge Pharma,Portugal,Braga Manufacturing Plant,1709159,Zenbridge Pharma,2636904,EUR
L000141,Hawksmoor Supply Co,Ireland,Waterford Storage Facility,151470,Hawksmoor Supply Co,142654,EUR
L000142,Elmsworth Logistics,Poland,Poznan Distribution Centre,349691,Elmsworth Logistics,240515,PLN
L000143,Kestrel Materials,Italy,Verona Storage Facility,432872,Kestrel Materials,1986852,EUR
L000144,Vireo Manufacturing,Germany,Leipzig Storage Facility,361460,Vireo Manufacturing,284358,EUR
L000145,Vireo Manufacturing,Germany,Bremen Regional Headquarters,883428,Vireo Manufacturing,1075421,EUR
L000146,Briarwood Holdings,Poland,Wroclaw Processing Plant,876676,Briarwood Holdings,647707,PLN
L000147,Duskwood Logistics,Belgium,Ghent Distribution Centre,293485,Duskwood Logistics,280964,EUR
L000148,Halbrook Supply Co,United States,Tacoma Distribution Centre,235139,Halbrook Supply Co,1007025,USD
L000149,Oakhaven Construction,Canada,Calgary Assembly Line Facility,588216,Oakhaven Construction,1176432,CAD
L000150,Kingswell Manufacturing,Switzerland,Basel Regional Headquarters,278383,Kingswell (Lausanne) Ltd,301828,CHF
L000151,Norwich Engineering,Portugal,Porto Manufacturing Plant,637706,Norwich Engineering,23973,EUR
L000152,Fenwick Works,Japan,Fukuoka Warehouse,1582918,Fenwick Works,2564862,JPY
L000153,Ironwood Manufacturing,Sweden,Gothenburg Freight Hub,248541,Ironwood Manufacturing,427526,SEK
L000154,Silverlake Materials,Belgium,Liege Warehouse,164686,Silverlake Materials,122379,EUR
L000155,Halbrook Supply Co,United States,Tacoma Distribution Centre,235139,Vireo Holdings Inc,287758,USD
L000156,Vantage Industries,Switzerland,Basel Cold Storage Depot,2396874,Vantage (Lausanne) Ltd,23247,CHF
L000157,Vireo Manufacturing,Germany,Stuttgart Cold Storage Depot,413955,Vireo Manufacturing,655265,EUR
L000158,Greystone Timber Ltd,Canada,Winnipeg Assembly Line Facility,287357,Greystone (Calgary) Ltd,501649,CAD
L000159,Redshaw Retail Group,United Kingdom,Cardiff Warehouse,758899,Redshaw Retail Group,623348,GBP
L000160,Oakhaven Construction,Canada,Calgary Assembly Line Facility,588216,Oakhaven Construction,2420240,CAD
L000161,Larkspur Agritech,Ireland,Galway Cold Storage Depot,616745,Larkspur Agritech,695863,EUR
L000162,Tanglewood Logistics,Austria,Graz Regional Headquarters,489536,Tanglewood (Linz) Ltd,411766,EUR
L000163,Cascade Engineering,Poland,Wroclaw Assembly Line Facility,254034,Cascade Engineering,325255,PLN
L000164,Silverlake Materials,Belgium,Liege Warehouse,164686,Silverlake Materials,273890,EUR
L000165,Oakhaven Construction,Canada,Calgary Assembly Line Facility,588216,Oakhaven Construction,414036,CAD
L000166,Oakhaven Construction,Canada,Vancouver Assembly Line Facility,1434473,Oakhaven Construction,2268307,CAD
L000167,Heathcote Logistics,Finland,Espoo Office Campus,798491,Heathcote Logistics,991613,EUR
L000168,Amberfield Timber Ltd,Sweden,Malmo Storage Facility,236185,Norwich Holdings SA,340751,SEK
L000169,Norwich Engineering,Portugal,Coimbra Assembly Line Facility,1732981,Norwich Engineering,2797843,EUR
L000170,Cascade Agritech,United Kingdom,Aberdeen Assembly Line Facility,152970,Cascade Agritech,216199,GBP
L000171,Zenbridge Pharma,Portugal,Coimbra Warehouse,212098,Zenbridge Pharma,137048,EUR
L000172,Zenbridge Pharma,Portugal,Braga Manufacturing Plant,1709159,Zenbridge Pharma,1870411,EUR
L000173,Underhill Retail Group,Spain,Seville Distribution Centre,238396,Bellweather Holdings Inc,428629,EUR
L000174,Westfold Works,Spain,Zaragoza Office Campus,971390,Westfold Works,1696784,EUR
L000175,Larkspur Agritech,Ireland,Cork Cold Storage Depot,587601,Larkspur Agritech,1008039,EUR
L000176,Hawksmoor Supply Co,Ireland,Cork Distribution Centre,610086,Hawksmoor Supply Co,9264,EUR
L000177,Copperfield Construction,Germany,Stuttgart Regional Headquarters,723912,Copperfield Construction,792273,EUR
L000178,Ironwood Industries,Germany,Leipzig Distribution Centre,386848,Solaris Holdings Group,237936,EUR
L000179,Quillon Logistics,Italy,Bologna Distribution Centre,1004285,Quillon Logistics,2940913,EUR
L000180,Juniper Textiles,United States,Ohio Processing Plant,1432693,Juniper Textiles,2109839,USD
L000181,Fenwick Manufacturing,Spain,Seville Manufacturing Plant,596375,Fenwick Manufacturing,1837267,EUR
L000182,Cascade Engineering,Poland,Krakow Freight Hub,1782870,Cascade Engineering,6282804,PLN
L000183,Windrose Pharma,Spain,Seville Processing Plant,1789833,Windrose Pharma,2197403,EUR
L000184,Amberfield Timber Ltd,Sweden,Gothenburg Manufacturing Plant,1640349,Amberfield Timber Ltd,1988827,SEK
L000185,Ironwood Manufacturing,Sweden,Malmo Storage Facility,625862,Ironwood Manufacturing,786333,SEK
L000186,Kingswell Supply Co,Finland,Turku Manufacturing Plant,318548,Kingswell Supply Co,239853,EUR
L000187,Pinehurst Retail Group,Japan,Fukuoka Freight Hub,347548,Pinehurst Retail Group,517117,JPY
L000188,Marlowe Textiles,Austria,Graz Processing Plant,1705516,Marlowe Textiles,2688113,EUR
L000189,Pinehurst Retail Group,Japan,Nagoya Distribution Centre,524096,Pinehurst Retail Group,831034,JPY
L000190,Silverlake Materials,Belgium,Liege Warehouse,164686,Silverlake Materials,191817,EUR
L000191,Norwich Pharma,Luxembourg,Differdange Freight Hub,292884,Norwich Pharma,446175,EUR
L000192,Briarwood Holdings,Poland,Krakow Freight Hub,760667,Briarwood Holdings,658930,PLN
L000193,Brightwell Timber Ltd,France,Marseille Regional Headquarters,2147061,Tanglewood Holdings Inc,2303150,EUR
L000194,Norwich Pharma,Luxembourg,Differdange Freight Hub,292884,Norwich Pharma,388849,EUR
L000195,Heathcote Auto Parts,Switzerland,Basel Freight Hub,1150484,Heathcote (Lucerne) Ltd,1373914,CHF
L000196,Ravensworth Engineering,Sweden,Gothenburg Distribution Centre,387082,Ravensworth (Malmo) Ltd,416568,SEK
L000197,Norwich Engineering,Portugal,Braga Manufacturing Plant,563384,Norwich Engineering,758765,EUR
L000198,Kestrel Industries,Austria,Graz Regional Headquarters,2326380,Kestrel Industries,2191702,EUR
L000199,Ivyridge Industries,Portugal,Braga Warehouse,1472765,Ivyridge Industries,2488993,EUR
L000200,Caldermill Manufacturing,Finland,Tampere Assembly Line Facility,394514,Caldermill Manufacturing,639684,EUR
L000201,Granwell Works,Belgium,Ghent Assembly Line Facility,2306406,Granwell Works,3790554,EUR
L000202,Norwich Engineering,Portugal,Coimbra Assembly Line Facility,1732981,Norwich Engineering,1700548,EUR
L000203,Briarwood Timber Ltd,Ireland,Cork Warehouse,646824,Briarwood Timber Ltd,985431,EUR
L000204,Ironwood Manufacturing,Sweden,Malmo Storage Facility,625862,Ironwood Manufacturing,997971,SEK
L000205,Westfold Works,Spain,Zaragoza Office Campus,971390,Westfold Works,1185909,EUR
L000206,Marlowe Retail Group,United States,Tacoma Regional Headquarters,166011,Marlowe Retail Group,270160,USD
L000207,Nordholt Textiles,United Kingdom,Aberdeen Distribution Centre,163698,Nordholt Textiles,183909,GBP
L000208,Copperfield Construction,Germany,Dresden Distribution Centre,257607,Copperfield Construction,381403,EUR
L000209,Kestrel Materials,Italy,Verona Storage Facility,432872,Kestrel Materials,551055,EUR
L000210,Aldergate Industries,Austria,Salzburg Processing Plant,732365,Aldergate (Graz) Ltd,1046365,EUR
L000211,Kingswell Supply Co,Finland,Espoo Regional Headquarters,255594,Kingswell (Espoo) Ltd,11851,EUR
L000212,Juniper Textiles,United States,Charlotte Assembly Line Facility,1744166,Juniper Textiles,3108177,USD
L000213,Underhill Holdings,Portugal,Braga Warehouse,2072143,Underhill Holdings,3254066,EUR
L000214,Redshaw Retail Group,United Kingdom,Bristol Warehouse,1122969,Redshaw (Cardiff) Ltd,2245938,GBP
L000215,Yarrow Holdings,Sweden,Malmo Manufacturing Plant,178046,Yarrow Holdings,178071,SEK
L000216,Ashcombe Materials,Ireland,Cork Freight Hub,710739,Ashcombe Materials,588517,EUR
L000217,Grayling Textiles,Finland,Espoo Distribution Centre,204276,Grayling Textiles,294593,EUR
L000218,Redshaw Materials,Belgium,Antwerp Office Campus,1868876,Brightwell Holdings Inc,2767246,EUR
L000219,Heathcote Logistics,Finland,Espoo Office Campus,798491,Heathcote Logistics,1251095,EUR
L000220,Silverlake Materials,Belgium,Ghent Processing Plant,1939910,Silverlake Materials,2971779,EUR
L000221,Quillon Works,Austria,Graz Warehouse,746671,Quillon Works,787234,EUR
L000222,Granwell Textiles,United Kingdom,Glasgow Storage Facility,2007281,Amberfield Holdings SA,5106,GBP
L000223,Everholt Textiles,Netherlands,Rotterdam Distribution Centre,2333715,Everholt Textiles,3828378,EUR
L000224,Ashcombe Foods,Netherlands,Tilburg Warehouse,320883,Greystone Holdings GmbH,527361,EUR
L000225,Copperfield Timber Ltd,Italy,Verona Office Campus,345966,Millbrook Holdings Inc,379448,EUR
L000226,Marlowe Textiles,Austria,Graz Processing Plant,1705516,Marlowe Textiles,1371767,EUR
L000227,Rathmore Engineering,Austria,Salzburg Office Campus,200967,Rathmore Engineering,343278,EUR
L000228,Larkspur Construction,Netherlands,Eindhoven Storage Facility,172133,Larkspur Construction,269085,EUR
L000229,Marlowe Retail Group,United States,Denver Assembly Line Facility,2172493,Marlowe (Austin) Ltd,1665050,USD
L000230,Heathcote Logistics,Finland,Turku Cold Storage Depot,2241575,Heathcote Logistics,1894458,EUR
L000231,Redshaw Retail Group,United Kingdom,Leeds Regional Headquarters,220280,Redshaw Retail Group,211491,GBP
L000232,Yarrow Auto Parts,Germany,Bremen Assembly Line Facility,793292,Yarrow Auto Parts,1200278,EUR
L000233,Silverlake Materials,Belgium,Ghent Processing Plant,1939910,Silverlake Materials,3122280,EUR
L000234,Elmsworth Engineering,Ireland,Limerick Assembly Line Facility,1115118,Elmsworth Engineering,1687998,EUR
L000235,Granwell Textiles,United Kingdom,Aberdeen Freight Hub,315292,Granwell (Aberdeen) Ltd,4475,GBP
L000236,Yarrow Holdings,Sweden,Gothenburg Cold Storage Depot,311945,Yarrow Holdings,228186,SEK
L000237,Ashcombe Foods,Netherlands,Utrecht Assembly Line Facility,2233140,Greystone Holdings GmbH,1719144,EUR
L000238,Pemberton Pharma,Luxembourg,Esch-sur-Alzette Distribution Centre,560921,Pemberton (Esch-sur-Alzette) Ltd,553428,EUR
L000239,Brightwell Timber Ltd,France,Lyon Distribution Centre,342607,Brightwell Timber Ltd,409335,EUR
L000240,Heathcote Auto Parts,Switzerland,Lucerne Processing Plant,662805,Heathcote (Lucerne) Ltd,479653,CHF
L000241,Westfold Industries,Japan,Osaka Storage Facility,783755,Westfold Industries,1386140,JPY
L000242,Brightwell Timber Ltd,France,Nantes Cold Storage Depot,840265,Brightwell Timber Ltd,507731,EUR
L000243,Foxglove Construction,Canada,Calgary Warehouse,448675,Greystone Holdings Inc,284125,CAD
L000244,Solaris Foods,Netherlands,Rotterdam Office Campus,180552,Solaris (Eindhoven) Ltd,11981,USD
L000245,Brightwell Timber Ltd,France,Marseille Regional Headquarters,2147061,Tanglewood Holdings Inc,1387563,EUR
L000246,Kingswell Supply Co,Finland,Turku Manufacturing Plant,318548,Kingswell (Espoo) Ltd,486337,EUR
L000247,Everholt Supply Co,Finland,Tampere Manufacturing Plant,824123,Everholt Supply Co,1148797,EUR
L000248,Oakhaven Materials,Switzerland,Lucerne Regional Headquarters,1144962,Oakhaven Materials,11497,CHF
L000249,Redshaw Materials,Belgium,Antwerp Office Campus,1868876,Brightwell Holdings Inc,1503727,EUR
L000250,Juniper Supply Co,Japan,Fukuoka Processing Plant,923927,Juniper Supply Co,900501,JPY
L000251,Cascade Engineering,Poland,Wroclaw Assembly Line Facility,254034,Cascade Engineering,347510,PLN
L000252,Norwich Engineering,Portugal,Coimbra Assembly Line Facility,1732981,Norwich Engineering,1495976,EUR
L000253,Ivyridge Engineering,Luxembourg,Esch-sur-Alzette Processing Plant,824520,Ivyridge Engineering,834030,EUR
L000254,Corvain Engineering,France,Marseille Manufacturing Plant,373559,Corvain (Marseille) Ltd,638362,EUR
L000255,Marlowe Retail Group,United States,Austin Warehouse,1175265,Marlowe (Austin) Ltd,802000,USD
L000256,Quillon Works,Austria,Graz Warehouse,746671,Quillon Works,626299,EUR
L000257,Halbrook Supply Co,United States,Charlotte Assembly Line Facility,321808,Halbrook Supply Co,198297,USD
L000258,Underhill Holdings,Portugal,Coimbra Distribution Centre,1937428,Underhill Holdings,3368137,EUR
L000259,Underhill Retail Group,Spain,Seville Distribution Centre,238396,Bellweather Holdings Inc,329887,EUR
L000260,Pemberton Pharma,Luxembourg,Esch-sur-Alzette Distribution Centre,560921,Pemberton Pharma,993866,EUR
L000261,Kestrel Materials,Italy,Bologna Freight Hub,648799,Larkspur Holdings GmbH,812704,EUR
